code,year,category,n_sections,n_ones,pct
B6_ai_cultural_content,2019,NEWS,29,0.0,0.0
B6_ai_cultural_content,2019,VI,5,0.0,0.0
B6_ai_cultural_content,2020,CG,398,0.0,0.0
B6_ai_cultural_content,2020,NEWS,85,0.0,0.0
B6_ai_cultural_content,2020,TRANS,36,0.0,0.0
B6_ai_cultural_content,2020,VI,365,0.0,0.0
B6_ai_cultural_content,2021,CG,540,0.0,0.0
B6_ai_cultural_content,2021,NEWS,38,1.0,2.6
B6_ai_cultural_content,2021,TRANS,84,0.0,0.0
B6_ai_cultural_content,2021,VI,180,0.0,0.0
B6_ai_cultural_content,2022,CG,693,0.0,0.0
B6_ai_cultural_content,2022,NEWS,19,0.0,0.0
B6_ai_cultural_content,2022,TOS,105,0.0,0.0
B6_ai_cultural_content,2022,VI,636,0.0,0.0
B6_ai_cultural_content,2023,CG,196,0.0,0.0
B6_ai_cultural_content,2023,NEWS,33,0.0,0.0
B6_ai_cultural_content,2023,TOS,487,0.0,0.0
B6_ai_cultural_content,2023,VI,797,0.0,0.0
B6_ai_cultural_content,2024,CCC,4,0.0,0.0
B6_ai_cultural_content,2024,NEWS,21,0.0,0.0
B6_ai_cultural_content,2024,TOS,448,0.0,0.0
B6_ai_cultural_content,2024,VI,622,0.0,0.0
B6_ai_cultural_content,2025,CCC,14,0.0,0.0
B6_ai_cultural_content,2025,CG,54,0.0,0.0
B6_ai_cultural_content,2025,NEWS,37,0.0,0.0
B6_ai_cultural_content,2025,TOS,493,0.0,0.0
B6_ai_cultural_content,2025,VI,731,0.0,0.0
B6_ai_cultural_content,sub,CG,1783,25.0,1.4
