filename,category,timestamp,year,method,html_size_kb,extracted_chars,output_file
CG_20201121181158_4FVDDHFC2PY5.html,CG,20201121181158,2020,AW_article_wrapper,296.1611328125,23067,CG_20201121181158_4FVDDHFC2PY5.md
CG_20201123170917_KAVEQDI7OF3D.html,CG,20201123170917,2020,AW_article_wrapper,296.1044921875,23067,CG_20201123170917_KAVEQDI7OF3D.md
CG_20201203052808_W3CNJOBFHSCS.html,CG,20201203052808,2020,AW_article_wrapper,296.6982421875,23067,CG_20201203052808_W3CNJOBFHSCS.md
CG_20201213235816_2VFAXASULKXX.html,CG,20201213235816,2020,AW_article_wrapper,298.158203125,23067,CG_20201213235816_2VFAXASULKXX.md
CG_20201215215419_NHGTEUINI65P.html,CG,20201215215419,2020,AW_article_wrapper,368.9951171875,34909,CG_20201215215419_NHGTEUINI65P.md
CG_20201224071653_OTYYTQJID2ON.html,CG,20201224071653,2020,AW_article_wrapper,369.1015625,34884,CG_20201224071653_OTYYTQJID2ON.md
CG_20201230235300_HHFHDE45VKTA.html,CG,20201230235300,2020,AW_article_wrapper,374.8212890625,34715,CG_20201230235300_HHFHDE45VKTA.md
CG_20210103060127_DUQHJIV3IHHU.html,CG,20210103060127,2021,AW_article_wrapper,374.8212890625,34715,CG_20210103060127_DUQHJIV3IHHU.md
CG_20210123175251_IT7VCWEWEUOV.html,CG,20210123175251,2021,AW_article_wrapper,374.3017578125,34715,CG_20210123175251_IT7VCWEWEUOV.md
CG_20210128005845_LOUCDCHGRHEH.html,CG,20210128005845,2021,AW_article_wrapper,376.3701171875,34715,CG_20210128005845_LOUCDCHGRHEH.md
CG_20210128073228_I4GPBVJELA23.html,CG,20210128073228,2021,AW_article_wrapper,376.89453125,34715,CG_20210128073228_I4GPBVJELA23.md
CG_20210130225829_IANKL2DMWCK5.html,CG,20210130225829,2021,AW_article_wrapper,376.482421875,34715,CG_20210130225829_IANKL2DMWCK5.md
CG_20210201180333_OO5I6SBNMA5T.html,CG,20210201180333,2021,AW_article_wrapper,376.482421875,34715,CG_20210201180333_OO5I6SBNMA5T.md
CG_20210207215325_RTOXC7IJPEAB.html,CG,20210207215325,2021,AW_article_wrapper,377.0673828125,34715,CG_20210207215325_RTOXC7IJPEAB.md
CG_20210214001619_P5WRFRXLAZXM.html,CG,20210214001619,2021,AW_article_wrapper,377.0673828125,34715,CG_20210214001619_P5WRFRXLAZXM.md
CG_20210219111129_7YNLK5LR5ZOZ.html,CG,20210219111129,2021,AW_article_wrapper,378.841796875,34715,CG_20210219111129_7YNLK5LR5ZOZ.md
