category,filename,length,ascii_ratio,alpha_ratio,weird_runs,keyword_hits
CG,CG_20210831091434_OQTHTTL3R23I.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20210903001708_XBI4DEIWHIHN.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20210912005102_ORDVD6NX57KM.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20210917021038_C22OUXWFDCIT.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20210924020915_BKVLTP3HJ3C3.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20210930221900_P4V2EKGGFVOW.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20211001002832_ZD4FVVV3NFP4.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20211006045946_FI4GAWWMFWF4.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20211015012630_TUDWZDJD2YD2.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20211021093716_EU52Y2XPSRSD.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20211030075517_JI5BIP5S4QKS.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20211102030216_ODLEZMQMDT5B.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20211109222230_XFBPS7A6WTG6.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20211117063629_2IJM7O3HT7MG.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20211121093725_5CLFNJUJJ23H.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20211130213911_6FYZIBZYHFMT.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20211201011838_W6DIX23P3J44.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20211210021458_3AXFJESFHGU7.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20211216024934_EBGREFWMAKX5.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20211217125237_EFZ6AS73QT4Z.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20211224100642_WA6JMJVM725K.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20220101060704_6ISHKRMA5JVH.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20220117041837_IH6I2GAQAHW2.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20220123043352_5OJYAY6A6T43.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20220127191957_VYSTWM65JUT3.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20220131205807_MW6RHV3UMRI4.md,34781,0.999597481383514,0.9929846755412438,0,7
